domain,domain_in_reference_corpus,registration_object_basis,standard_registrable_domain,standard_public_suffix_model_match,sources_observed_json,source_outcomes_json,source_outcome_ids_json,rdap_record_variant_count,whois_record_variant_count,registry_ids_observed_json,status_codes_observed_json,status_values_by_source_json,nameservers_observed_json,registrars_observed_json,registration_dates_json,expiration_dates_json,last_changed_dates_json,dnssec_json,protocol_conformance_observed_json,has_cross_source_conflict,cross_source_conflict_fields_json
123.com.ye,true,authoritative_record,123.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D304-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-01T19:03:08.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
13june-corp.com.ye,true,authoritative_record,13june-corp.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D303-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-01T19:20:38.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
14october.com.ye,true,authoritative_record,14october.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D1-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""sah1.ye"",""registry_handles_observed"":[""H1-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah2.ye"",""registry_handles_observed"":[""H4-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah3.ye"",""registry_handles_observed"":[""H227-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Y.Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R1-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
189.gov.ye,true,reference_corpus,189.gov.ye,true,[],"{""rdap"":[],""whois"":[""no_record""]}","{""rdap"":[],""whois"":[""sha256:63c87afe5bceab1944dee975e035894385c710fc4608d132be269b0d57349642""]}",0,0,[],[],"{""rdap"":[],""whois"":[]}",[],[],[],[],[],"{""delegation_signed_observed"":[],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[],""zone_signed_observed"":[]}",[],false,[]
189.ye,true,authoritative_record,189.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D305-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-01T19:21:17.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
1st-b.com.ye,true,authoritative_record,1st-b.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D1626-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2024-07-10T06:36:09.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-04T09:46:44.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
21umas.edu.ye,true,authoritative_record,21umas.edu.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D1496-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}",[],"[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2023-10-10T07:46:07.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2023-10-10T07:47:30.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
22may.hospital.ye,true,authoritative_record,hospital.ye,false,"[""rdap""]","{""rdap"":[],""whois"":[""different_domain_returned""]}","{""rdap"":[],""whois"":[""sha256:f08f3a384c84bd84a25c87fe401e9611fc28cef4739702fd48db64942b9e3f42""]}",1,0,"[""D1562-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap""],""vcard_versions_observed"":[""4.0""]}]","[""2024-02-10T06:40:25.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2025-02-09T19:25:16.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
3allimni.ye,true,authoritative_record,3allimni.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D299-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handles_observed"":[""H2-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handles_observed"":[""H3-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Yemen Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R3-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-03-18T23:53:29.000Z""]","{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
3d.com.ye,true,authoritative_record,3d.com.ye,true,"[""rdap"",""whois""]","{""rdap"":[],""whois"":[]}","{""rdap"":[],""whois"":[]}",1,1,"[""D2-YE""]","[""active""]","{""rdap"":[""active""],""whois"":[""ok""]}","[{""ldh_name"":""sah1.ye"",""registry_handles_observed"":[""H1-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah2.ye"",""registry_handles_observed"":[""H4-YE""],""source_types"":[""rdap"",""whois""]},{""ldh_name"":""sah3.ye"",""registry_handles_observed"":[""H227-YE""],""source_types"":[""rdap"",""whois""]}]","[{""names_observed"":[""Y.Net - Sales""],""public_ids_observed"":[],""registry_handles_observed"":[""R1-YE""],""source_types"":[""rdap"",""whois""],""vcard_versions_observed"":[""4.0""]}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed_observed"":[false],""ds_records_observed"":[],""key_records_observed"":[],""max_signature_life_observed"":[],""statuses_observed"":[""unsigned""],""zone_signed_observed"":[false]}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]",false,[]
