source_type,domain,record_id,object_class,registration_object_basis,standard_registrable_domain,standard_public_suffix_model_match,registry_ids_json,statuses_json,nameservers_json,registrars_json,registration_dates_json,expiration_dates_json,last_changed_dates_json,dnssec_json,protocol_conformance_json
rdap,123.com.ye,sha256:1708b41fcebdc424ecfd7bcba9d04f527d1fc18caa4696123100a0f5eb9f8799,domain,authoritative_record,123.com.ye,true,"[""D304-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handle"":""H2-YE""},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handle"":""H3-YE""}]","[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-01T19:03:08.000Z""]","{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,13june-corp.com.ye,sha256:a59e7400a27fb028e2aa9cd2dc2f9d4027c44d087539180246f2ff1dccf5913f,domain,authoritative_record,13june-corp.com.ye,true,"[""D303-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handle"":""H2-YE""},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handle"":""H3-YE""}]","[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-01T19:20:38.000Z""]","{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,14october.com.ye,sha256:19acec4d9e680a0577e587d8a4eaaaa152f052aa0cfe5590916fcba9a6475891,domain,authoritative_record,14october.com.ye,true,"[""D1-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""sah1.ye"",""registry_handle"":""H1-YE""},{""ldh_name"":""sah2.ye"",""registry_handle"":""H4-YE""},{""ldh_name"":""sah3.ye"",""registry_handle"":""H227-YE""}]","[{""name"":""Y.Net - Sales"",""public_ids"":[],""registry_handle"":""R1-YE"",""vcard_version"":""4.0""}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,189.ye,sha256:997ab32acdac9243248a679776edb9f83a2b1e5fc8ba421b9c54ebe221f0dd1f,domain,authoritative_record,189.ye,true,"[""D305-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handle"":""H2-YE""},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handle"":""H3-YE""}]","[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-01T19:21:17.000Z""]","{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,1st-b.com.ye,sha256:31322614fda5cd5690cb9f069a4b57b87eb6b2b2917ae895979a4e1da0de460e,domain,authoritative_record,1st-b.com.ye,true,"[""D1626-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handle"":""H2-YE""},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handle"":""H3-YE""}]","[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2024-07-10T06:36:09.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-09-04T09:46:44.000Z""]","{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,21umas.edu.ye,sha256:6d2785eecef572eb00b67fc419c35c0a1303cd0e42c98ad558bdf5d9fc43ea8f,domain,authoritative_record,21umas.edu.ye,true,"[""D1496-YE""]","[{""normalized"":""active"",""source_value"":""active""}]",[],"[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2023-10-10T07:46:07.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2023-10-10T07:47:30.000Z""]","{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,22may.hospital.ye,sha256:4feaea1ef21fc19440311d20d61fd4c176042592244d0b470d0339034567df9b,domain,authoritative_record,hospital.ye,false,"[""D1562-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handle"":""H2-YE""},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handle"":""H3-YE""}]","[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2024-02-10T06:40:25.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2025-02-09T19:25:16.000Z""]","{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,3allimni.ye,sha256:295f3cc3b2b4224f32cceba37b185afc92ad5c10503a77bcebfd0a6fd7d568d5,domain,authoritative_record,3allimni.ye,true,"[""D299-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handle"":""H2-YE""},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handle"":""H3-YE""}]","[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]","[""2024-03-18T23:53:29.000Z""]","{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,3d.com.ye,sha256:b0f30a6ab9ebaf4dfcfd12363617ce9441dbb1b2ff3012b9ac5e49a8bf486be6,domain,authoritative_record,3d.com.ye,true,"[""D2-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""sah1.ye"",""registry_handle"":""H1-YE""},{""ldh_name"":""sah2.ye"",""registry_handle"":""H4-YE""},{""ldh_name"":""sah3.ye"",""registry_handle"":""H227-YE""}]","[{""name"":""Y.Net - Sales"",""public_ids"":[],""registry_handle"":""R1-YE"",""vcard_version"":""4.0""}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
rdap,4dimensions.com.ye,sha256:30dd623d4523b1c954d28e87cc72003e64ddd44145250eab921b6cc3f6784be5,domain,authoritative_record,4dimensions.com.ye,true,"[""D301-YE""]","[{""normalized"":""active"",""source_value"":""active""}]","[{""ldh_name"":""ns1.yemen.net.ye"",""registry_handle"":""H2-YE""},{""ldh_name"":""ns2.yemen.net.ye"",""registry_handle"":""H3-YE""}]","[{""name"":""Yemen Net - Sales"",""public_ids"":[],""registry_handle"":""R3-YE"",""vcard_version"":""4.0""}]","[""2000-01-01T00:00:00.000Z""]","[""2040-12-31T23:59:59.999Z""]",[],"{""delegation_signed"":false,""ds_records"":[],""key_records"":[],""max_signature_life"":null,""status"":""unsigned"",""zone_signed"":false}","[""icann_rdap_response_profile_0"",""icann_rdap_response_profile_1"",""icann_rdap_technical_implementation_guide_0"",""icann_rdap_technical_implementation_guide_1"",""rdap_level_0""]"
