source_type,query_name,registrable_domain,outcome,returned_domains_json,outcome_id
whois,189.gov.ye,189.gov.ye,no_record,[],sha256:63c87afe5bceab1944dee975e035894385c710fc4608d132be269b0d57349642
whois,22may.hospital.ye,hospital.ye,different_domain_returned,"[""hospital.ye""]",sha256:f08f3a384c84bd84a25c87fe401e9611fc28cef4739702fd48db64942b9e3f42
whois,abusits.yemen.net.ye,yemen.net.ye,unparseable,[],sha256:dcff966713480910003e0ed5dbb0fec09c28aba1ae79a413f0f58d9e67b1397f
whois,alahwal.com.ye,alahwal.com.ye,no_record,[],sha256:0592646737a25401ebe5914763d3c33223389af03078ef1a5b68619f7edc3dc6
whois,alhubishicenter.com.ye,alhubishicenter.com.ye,no_record,[],sha256:6b0e6fbed8c61d3ec7ac86632fe68f39e49050a39b97471f337844ae34ac5625
whois,alshamilawfirm.law.ye,law.ye,different_domain_returned,"[""law.ye""]",sha256:dd96aa93b70b51a8e731f0fcf7c2a559ae1eb2cc87c84fcb82c6087b8f8eea50
whois,aman.hospital.ye,hospital.ye,different_domain_returned,"[""hospital.ye""]",sha256:126822c2ddab67cc1a5c405d84ad73f235301c07b87ed0d75bd36c1297b74506
whois,amana.ye,amana.ye,no_record,[],sha256:f89478265952c57c50d136a244487f49bcb8fd3d8ab5173c381cf874d82a8de7
whois,aust.uni.ye,uni.ye,different_domain_returned,"[""uni.ye""]",sha256:7b953c619e747b0f00658cd76e14c01ca99dfb5631feb4c1d2d9b0e2e547ff78
whois,bst.ye,bst.ye,no_record,[],sha256:8f27dfc8205cb375c0ec167d3457ea02e100d318b311981bd808021154332c6f
whois,codeit.ye,codeit.ye,no_record,[],sha256:ac9fc92bfa167504d31633eacc6a986afe42e941a6c98425509ea7f4e8de1c84
whois,folsu.ye,folsu.ye,no_record,[],sha256:f91556f6bb82567f683d7d85bacf57cd8cb68e48450b8dd3f846d1e9a675f22e
whois,fortech.com.ye,fortech.com.ye,query_error,[],sha256:b634594c993d3a4f5a58bcd0f5f459a581edebb7bbadddfa67fd24892772c913
whois,garwsp-eu.gov.ye,garwsp-eu.gov.ye,no_record,[],sha256:edf12bc0c95f43c2e946f2591e44836ef89cfe055142319e729281d4a6cbc2d5
whois,gasspy.gov.ye,gasspy.gov.ye,no_record,[],sha256:73c03e6ea448ce4b77d33a01f48042e1805732bd43d5ce9bdb64014b9e33a472
whois,griffin.com.ye,griffin.com.ye,unparseable,[],sha256:e34f8ffa0226665f02978224135e21ce3b2ea3ce9fe76d95c41c31118188ee16
whois,ibb-wslc.gov.ye,ibb-wslc.gov.ye,no_record,[],sha256:aa3e743c298e95904e5afd000160a2169e4cf04bf2a720508adb4c11b79c6e94
whois,icdl.ye,icdl.ye,no_record,[],sha256:b59c1bb92c7b1b4fd7adaf9a3297489971fbabcf705d80d21f49efeeef928915
